Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1872 - Grant,Connecticut,95992.00,50307.00,52.4,6,45685.00,47.6, ,,,,,,,Republican,
1872 - Grant,Delaware,21822.00,11129.00,51,3,10205.00,46.8, ,,,,,,,Republican,
1872 - Grant,Florida,33190.00,17763.00,53.5,4,15427.00,46.5, ,,,,,,,Republican,
1872 - Grant,Georgia,138906.00,62550.00,45, ,76356.00,55,*,,,,,,,Democratic,
1872 - Grant,Illinois,429971.00,241936.00,56.3,21,184884.00,43, ,,,,,,,Republican,
1872 - Grant,Indiana,349779.00,186147.00,53.2,15,163632.00,46.8, ,,,,,,,Republican,
1872 - Grant,Iowa,216365.00,131566.00,60.8,11,71189.00,32.9, ,,,,,,,Republican,
1872 - Grant,Kansas,100512.00,66805.00,66.5,5,32970.00,32.8, ,,,,,,,Republican,
1872 - Grant,Kentucky,191552.00,88970.00,45.5, ,100208.00,54.5,*,,,,,,,Democratic,
1872 - Grant,Louisiana,128692.00,71663.00,55.7, ,57029.00,44.3,*,,,,,,,Republican,
